commondata_001	commondata_002	commondata_003	commondata_004	commondata_009	uniquefloat_001
0930995026	6426983	10014947	肥特o熊貓	202112	1.0
0931111394	5501665	7532006	精靈孥	202112	1.0
0932383252	8137316	13842094	忍a暗殺	202112	5.0
0932383252	8137316	16662348	咘o弒天	202112	1.0
0933122398	8131661	10621287	帥哥瑋又來啦	202112	9.0
0933298697	1317734	1857252	小小盜賊仁仁	202112	3.0
0933613521	1551993	8824492	LV專屬魅力	202112	3.0
0934385539	7283387	16284247	千乂淚雨	202112	1.0
0934385539	7283387	25125850	annAGrid	202112	2.0
0935260040	3478658	15825948	彩o雪o	202112	1.0
0935696458	5056274	7694146	天雷令	202112	1.0
0935850816	4127514	23467995	隨手丟肥皂	202112	2.0
0935860712	2825469	6882981	夜空最亮的你	202112	2.0
0935894020	6128893	15614736	ToneyBaBy	202112	1.0
0936336824	8002940	24144368	Lasword	202112	2.0
0936726596	6937290	10789931	邪惡e呆	202112	1.0
0937168280	377702	8433338	蛋蛋noodles	202112	6.0
0937183089	651120	15379233	AMX004邱	202112	4.0
0937183089	651120	571978	x聖x	202112	2.0
0937540993	5969344	16693083	楓雨幻化	202112	1.0
0937907749	1095279	6789905	QQo蕉餅	202112	6.0
0938901019	1827794	5208756	嘉中英雄	202112	1.0
0939028835	5718945	7386485	紫戀幻想oo	202112	1.0
0952550387	2063578	9941309	v咘小芯v	202112	1.0
0952891806	3453337	6205429	magic小花	202112	1.0
0952975606	1374123	16106630	衝動的Me	202112	8.0
0953336543	8065953	5274333	乂楓葉樹葉乂	202112	1.0
0953672195	2053820	7509478	滅夢幻塵	202112	1.0
0956699768	2970228	15425796	醜八怪的紳士	202112	1.0
0956819263	313301	2728956	艾雷庫斯	202112	7.0
0956jeff10	7459052	16440422	冬戀o姬	202112	1.0
09605425750	5252981	4562460	旰聜詌狺鰩旰	202112	1.0
0960XXXXXX	4741400	11016423	爻o艾斯o爻	202112	3.0
0963245387123	697651	9799124	乂龍崎櫻乃乂	202112	3.0
0963245387123	697651	9947216	傻笑法師	202112	4.0
0971021192	1612539	429110	安室奈美眉	202112	3.0
0971080770	1676096	18097992	指間o咖啡	202112	7.0
0972380213	7238273	3545176	生活泡沫的茶	202112	2.0
0982124113	2505349	3665182	水神之界	202112	1.0
0982632925	6750099	8152159	雪o陰陽	202112	2.0
0986183233	8283673	25483412	QQQ0144	202112	2.0
0987368310	4872788	26260318	筱紅珛	202112	2.0
0987654545	1444602	26004643	奧米加嗷嗷鼠	202112	3.0
098825252	3902348	16334814	楓葉飄向小安	202112	2.0
0988376322	7995984	11868179	HeyYo倫	202112	2.0
0988728863	7729384	18388135	Late肆玖	202112	1.0
0kwanyue0	3498873	16732385	旭映樺	202112	6.0
0olympic0	3636859	12703575	寂寞的星期天	202112	1.0
0olympic0	3636859	18631825	咚咚的咚	202112	3.0
0one0piece0	8237853	4419030	最初的偷可	202112	2.0
101lhi875	6775769	13583191	GAME儵	202112	15.0
101lhi875	6775769	17145885	正恩愛上近平	202112	11.0
1024bits	5813312	25192988	CUJ168	202112	4.0
10710611	2060208	3408857	曉姆阿布	202112	1.0
10710611	2060208	7215225	闇x祭	202112	3.0
11111815	8212702	9687765	沄煙	202112	1.0
11111jjj	2861091	24548692	軟泥史萊姆	202112	1.0
1117cherry	3352265	17132866	貝斯手加佳	202112	2.0
11herman30	6631992	10650598	虈小龍王虈	202112	1.0
120081818	2468754	2182754	0o名弓手o0	202112	1.0
12080211	5751975	11834614	蓓蓓朵	202112	3.0
121140927	3405992	11797586	最強雙奴手	202112	2.0
121576714	4519519	4643983	妳再集九點	202112	1.0
1216047666	2357950	18343673	冒險家lulu	202112	3.0
121963104	920968	14180218	決戰戰國風雲	202112	1.0
121963104	920968	15399081	電擊他樂團	202112	1.0
12270512	5395187	6574214	好野好麻煩	202112	1.0
1229548521	3330609	9079464	楓林紗紗	202112	1.0
12324benson12324	7954840	10657101	YAMACI西西	202112	3.0
1233445566777888999	6194448	9027546	宇奈月琉璃	202112	1.0
123456klll	6751247	6835231	終極a雞雞	202112	1.0
1234abba	5978274	24572613	神子o燦	202112	2.0
1234abdc	6393567	11625882	阿乖墨玄	202112	10.0
1234zyacgiusz	4823626	5860330	StaR幻萌星曉	202112	1.0
12371304	2296581	25331896	殷悅蝶	202112	1.0
12371304	2296581	4253944	紫夢蝶o	202112	3.0
12371304	2296581	7438906	萌漾蝶	202112	2.0
123QAZ90	6321561	14954366	舊寶島	202112	1.0
123qweasdzxc122	7133034	7118176	虢oooooooooo	202112	2.0
124061404	1639073	24468885	神樂花楓	202112	4.0
124747265	2952178	6646462	陽光i伊	202112	1.0
126160794	611030	8875501	義薄雲天ooo	202112	2.0
1302001kon	3573927	4655853	吾非妹控也	202112	1.0
131356357	5623165	4149573	半金莎林	202112	2.0
13469785234	4286900	8824698	嬋海彤	202112	2.0
13525801	4589897	13731061	艾a彤	202112	18.0
13525801	4589897	8315493	乂筱臻	202112	2.0
1357924680777	4616106	7672487	呆毛小火龍	202112	1.0
13579910	2376019	18528347	波波o熊	202112	5.0
147563bh	6172883	13094356	天上的小傑	202112	2.0
15602913	5706371	11839408	舔嘴唇吃奶酪	202112	1.0
1581895151	3694375	3320064	Forever夜月k	202112	2.0
159753852450	1129816	18733007	納睎亞	202112	1.0
