TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
DNMembership,dbo,VIX_EventScheduleDetailForPetal,Cnt,3,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,SecondAuthLogs,LogDate,1,,NO,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,SecondAuthLogs,AccountID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,SecondAuthLogs,SecondAuthCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountLockLogs,LogDate,1,,NO,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,AccountLockLogs,AccountID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountLockLogs,LockFlag,3,,NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,GiftSendScheduleTarget,GiftSendScheduleID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendScheduleTarget,CharacterID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendScheduleTarget,DeleteFlag,3,((0)),NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,Accounts,AccountID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,AccountName,2,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,Accounts,AccountLevelCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,GameOption,4,,YES,binary,20.0,20.0,,,,,,,,,,,,,
DNMembership,dbo,Accounts,CharacterCreateLimit,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,LastCharacterCreateDate,6,,YES,date,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Accounts,CharacterMaxCount,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,LastLoginDate,8,,YES,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Accounts,LastLogoutDate,9,,YES,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Accounts,LastLoginIP,10,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,LastSessionID,11,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,JoinIP,12,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,RegisterDate,13,,NO,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Accounts,PublisherCode,14,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,GenderCode,15,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,BirthDate,16,,YES,date,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Accounts,Passphrase,17,,YES,binary,20.0,20.0,,,,,,,,,,,,,
DNMembership,dbo,Accounts,KeySettingOption,18,,YES,binary,80.0,80.0,,,,,,,,,,,,,
DNMembership,dbo,Accounts,SecondAuthPassphrase,19,,YES,binary,20.0,20.0,,,,,,,,,,,,,
DNMembership,dbo,Accounts,SecondAuthFailCount,20,((0)),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,SecondAuthCode,21,((1)),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,SecondAuthLockFlag,22,((0)),NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,Accounts,LastSecondAuthNotifyDate,23,,YES,date,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Accounts,GamePadOption,24,,YES,binary,201.0,201.0,,,,,,,,,,,,,
DNMembership,dbo,Accounts,NationalityCode,25,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,SecondAuthResetDate,26,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Accounts,ChannelPartnerCode,27,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,TotalDT,28,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,AccountKey,29,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,CharacterSortCode,30,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Accounts,ConnectNoticeFlag,31,,YES,bit,,,,,,,,,,,,,,,
DNMembership,dbo,Accounts,NewbieRewardFlag,32,,YES,bit,,,,,,,,,,,,,,,
DNMembership,dbo,Accounts,NewbieRewardDate,33,,YES,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Accounts,ReturnRewardFlag,34,,YES,bit,,,,,,,,,,,,,,,
DNMembership,dbo,Accounts,LockFlag,35,,YES,bit,,,,,,,,,,,,,,,
DNMembership,dbo,Characters_DWC_20140902,CharacterID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
