TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200909_NX_Messenger00,dbo,tblCategoryInfo2,BASE TABLE
20200909_NX_Messenger00,dbo,dtproperties,BASE TABLE
20200909_NX_Messenger00,dbo,tblCateFriendMap,BASE TABLE
20200909_NX_Messenger00,dbo,tblRealFriendInfo,BASE TABLE
20200909_NX_Messenger00,dbo,tblRealUserInfo,BASE TABLE
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,BASE TABLE
20200909_NX_Messenger00,dbo,W_tblVirtualFriendInfo,BASE TABLE
20200909_NX_Messenger00,dbo,tblVirtualFriendInfo,BASE TABLE
20200909_NX_Messenger00,dbo,tblRequestInfo,BASE TABLE
