TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
GlobalAccount,dbo,BlackList,MachineID0,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,BlackList,MachineID1,2,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,BlackList,MachineID2,3,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,BlackList,UnblockDate,4,,NO,smalldatetime,,,,,,0,,,,,,,,,
GlobalAccount,dbo,AchievementRecord,AccountID,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,AchievementRecord,AchievementID,2,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,AchievementRecord,State,3,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,AchievementRecord,CompleteDate,4,,NO,datetime,,,,,,3,,,,,,,,,
GlobalAccount,dbo,AchievementRecord,Record,5,,NO,varchar,255,255,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,temp_RewardList,AccountID,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_RewardList,Point,2,,YES,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,Results,gash_id,1,,YES,nvarchar,255,510,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,Results,sex,2,,YES,nvarchar,255,510,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,Results,yearsold,3,,YES,float,,,53,2,,,,,,,,,,,
GlobalAccount,dbo,Results,serviceaccountid,4,,YES,nvarchar,255,510,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,temp_UserPlayTimeLog,SN,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_UserPlayTimeLog,LogoutTime,2,,NO,datetime,,,,,,3,,,,,,,,,
GlobalAccount,dbo,temp_UserPlayTimeLog,AccountID,3,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_UserPlayTimeLog,GameWorldID,4,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_UserPlayTimeLog,CharacterID,5,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_UserPlayTimeLog,PlayTime,6,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_UserPlayTimeLog,LoginCount,7,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_Gama_Reward,AccountID,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,GameSvr,Temp_CharacterCard,AccountID,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,GameSvr,Temp_CharacterCard,GameWorldID,2,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,GameSvr,Temp_CharacterCard,nDelta,3,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,MaplePointIncLog,SN,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MaplePointIncLog,AccountID,2,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MaplePointIncLog,MaplePoint,3,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MaplePointIncLog,Type,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,MaplePointIncLog,RegisterDate,5,(getdate()),NO,datetime,,,,,,3,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,WID,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,ItemID,2,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,ItemSN,3,,NO,bigint,,,19,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,Grade,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,CHUC,5,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,Option1,6,,NO,smallint,,,5,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,Option2,7,,NO,smallint,,,5,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,Option3,8,,NO,smallint,,,5,10,0,,,,,,,,,,
