TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
GameDB04,dbo,CharacterPlayTimeLog_20181002,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151130,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161126,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171128,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190330,BASE TABLE
GameDB04,dbo,HalloweenRankingInfo,BASE TABLE
GameDB04,dbo,NewYearCardRecord,BASE TABLE
GameDB04,dbo,MemoAccount,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180907,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190317,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190824,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150201,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180131,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20191102,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180819,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190221,BASE TABLE
GameDB04,dbo,WeddingReservation,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170715,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180108,BASE TABLE
GameDB04,dbo,ItemSlot_INS,BASE TABLE
GameDB04,dbo,InnocentUpgradeLog,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151012,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190125,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190520,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190718,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150329,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160718,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151211,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190113,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190628,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190915,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150516,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160414,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150218,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170108,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20191125,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150702,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160620,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171104,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150429,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170305,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180520,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160822,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160118,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170511,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151023,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170217,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180426,BASE TABLE
GameDB04,dbo,WishList,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150807,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20181114,BASE TABLE
GameDB04,dbo,MapTransfer,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160512,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20161010,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170131,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180406,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190423,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20191003,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190629,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150312,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150713,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20181002,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151201,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20161127,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20171128,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190330,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190916,BASE TABLE
GameDB04,dbo,DuoFriendList,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150903,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180222,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180908,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190318,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190824,BASE TABLE
GameDB04,dbo,RunnerGameRecord,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150201,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180131,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20191102,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180819,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190221,BASE TABLE
GameDB04,dbo,WishList_Event,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170716,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180109,BASE TABLE
GameDB04,dbo,Memo,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180726,BASE TABLE
GameDB04,dbo,WorldTransfer_StoreCharCnt,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151012,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190126,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190521,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190718,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150329,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160719,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151211,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190113,BASE TABLE
GameDB04,dbo,CharacterLevel,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150517,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160415,BASE TABLE
GameDB04,dbo,DuoMembershipAvartar,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20181219,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150218,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170108,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20191125,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150703,BASE TABLE
